CID,Molecular Formula,Molecular Weight,Canonical SMILES,InChIKey
2244,C9H8O4,180.16,CC(=O)OC1=CC=CC=C1C(=O)O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N
1234,C28H40N2O5,484.6,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC,XQLWNAFCTODIRK-UHFFFAOYSA-N
5678,C19H14O5,322.3,COC(=O)C(=C1C(=O)C(C(=O)O1)C2=CC=CC=C2)C3=CC=CC=C3,JOFTYVPERBCMPJ-UHFFFAOYSA-N
91011,C28H31ClN2O6,527.0,COC1=CC=CC=C1N2CCN(CC2)CCOC(C3=CC=CC=C3)C4=CC=C(C=C4)Cl.C(=O)(C(=O)O)O,FNCPSCUFEVHYTI-UHFFFAOYSA-N
1213,C12H22O,182.30,CC1CCCC2(C1(CCCC2)O)C,JLPUXFOGCDVKGO-UHFFFAOYSA-N
1415,C20H32O4,336.5,CCCCCC=CCC(C=CC=CCC=CCCCC(=O)O)OO,ZIOZYRSDNLNNNJ-UHFFFAOYSA-N
1617,C6H4N2O6,200.11,C1=C(C=C(C(=O)C1=O)[N+](=O)[O-])N(O)O,SXYNIIXONDKDFQ-UHFFFAOYSA-N
1819,C11H13FNO4P,273.20,C1=CC2=C(C=C1F)C(=CN2)CCCOP(=O)(O)O,YVYGGBFCYXRNKM-UHFFFAOYSA-N
2021,C14H24N2O7,332.35,CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O,UNFWWIHTNXNPBV-UHFFFAOYSA-N
2223,C44H83NO7P+,769.1,CCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCC=CCC=CCC=CCC=CCCCCC,DUUSFCFZBREELS-UHFFFAOYSA-O
