CID,Molecular Formula,Molecular Weight,Canonical SMILES,InChIKey
4731351,C15H22N2O,246.35,CC(C)(C)C1=NC=CC(=C1)C(=O)N2CCCCC2,LDDPRMFVBOOJCH-UHFFFAOYSA-N
4237153,C26H31N3O6,481.5,CC1=C(C=CC(=C1)OCC(C)C)C(=C2C(N(C(=O)C2=O)CC[NH+](C)C)C3=CC(=CC=C3)[N+](=O)[O-])[O-],FJHPIHRQLFFEQV-UHFFFAOYSA-N
4577591,C21H13Cl2N3OS2,458.4,C1=CC=C(C=C1)C(=O)N=C2N(C(=NC3=CC=C(C=C3)Cl)SS2)C4=CC=C(C=C4)Cl,ARMNMMJQRJMFHP-UHFFFAOYSA-N
3844348,C16H19N3O3S,333.4,COC(=O)CCCCCNC(=O)C1=CSC(=N1)C2=CN=CC=C2,UAELKFNBRHVAQC-UHFFFAOYSA-N
5648968,C14H11FN2O2,258.25,C1=CC(=CC(=C1)F)C(=O)NNC=C2C=CC(=O)C=C2,MTPBXEROAUAVDW-UHFFFAOYSA-N
2720327,C28H26N4O6S,546.6,CC1=C(C=C(C=C1)NC(=O)C2=C3N(C(=C(C2C4=C(C=C(C=C4)OC)OC)C#N)N)C(=O)C(=CC(=O)OC)S3)C,XAKUNHGDDDEEGM-NWKGEQBZSA-N
698186,C13H14FN3O2,263.27,CC1=CC(=NN1C(C[N+](=O)[O-])C2=CC=C(C=C2)F)C,MVBARGXPOZYIFR-CYBMUJFWSA-N
1835166,C22H23NO3,349.4,C1CCC(C(C1)C(=O)N2C3=CC=CC=C3CCC4=CC=CC=C42)C(=O)O,ZQWJBQUIXYKEQK-MSOLQXFVSA-N
5360397,C7H11N2O4,187.17,CC(=O)NC(CCC(=O)N)C(=O)[O],JWSSVLTVABSWEQ-UHFFFAOYSA-N
4116791,C25H18ClN3O7,507.9,COC1=C(C=CC(=C1)C=C2C(=O)NC(=O)N(C2=O)C3=CC=C(C=C3)Cl)OCC4=CC=C(C=C4)[N+](=O)[O-],JLTHJUMRTOMGMN-UHFFFAOYSA-N
8166572,C14H17ClN2O3,296.75,C1CCN(CC1)C(=O)COC2=C(C=C(C=C2)Cl)C(=O)N,SYPCVTVLRXPDKO-UHFFFAOYSA-N
